tourney_id	tourney_name	surface	draw_size	tourney_level	tourney_date	match_num	winner_id	winner_seed	winner_entry	winner_name	winner_hand	winner_ht	winner_ioc	winner_age	winner_rank	winner_rank_points	loser_id	loser_seed	loser_entry	loser_name	loser_hand	loser_ht	loser_ioc	loser_age	loser_rank	loser_rank_points	score	best_of	round	minutes	w_ace	w_df	w_svpt	w_1stIn	w_1stWon	w_2ndWon	w_SvGms	w_bpSaved	w_bpFaced	l_ace	l_df	l_svpt	l_1stIn	l_1stWon	l_2ndWon	l_SvGms	l_bpSaved	l_bpFaced	wid	lid	atp_match_num	no_sets	no_tiebreaks	
2016-301	Auckland	Hard	28	A	20160111	300	105138	8		Roberto Bautista Agut	R	183	ESP	27	25	1480	106058			Jack Sock	R	191	USA	23	26	1465	6-1 1-0 RET	3	F	28	2	2	21	15	14	2	4	0	4	0	3	25	10	5	5	4	1	0	MS001	3	0	
2016-301	Auckland	Hard	28	A	20160111	299	106058			Jack Sock	R	191	USA	23	26	1465	103970	1 WC		David Ferrer	R	175	ESP	33	8	4055	3-6 6-1 6-2	3	SF	79	13	1	67	34	28	19	12	2	6	3	2	60	40	28	11	12	2	3	MS002	3	0	
2016-301	Auckland	Hard	28	A	20160111	298	105138	8		Roberto Bautista Agut	R	183	ESP	27	25	1480	104542	2		Jo-Wilfried Tsonga	R	188	FRA	30	10	2635	3-6 7-6(3) 6-4	3	SF	137	3	5	109	65	49	23	16	4	8	16	1	103	59	47	21	15	6	7	MS003	3	1	
2016-301	Auckland	Hard	28	A	20160111	297	103970	1 WC		David Ferrer	R	175	ESP	33	8	4055	104586			Lukas Rosol	R	196	CZE	30	54	802	6-3 6-4	3	QF	72	5	1	58	37	26	16	9	4	4	2	1	54	31	24	9	10	1	4	MS004	2	0	
2016-301	Auckland	Hard	28	A	20160111	294	104542	2		Jo-Wilfried Tsonga	R	188	FRA	30	10	2635	104926	6		Fabio Fognini	R	178	ITA	28	21	1515	7-5 7-6(4)	3	QF	102	12	3	75	45	38	17	12	1	6	3	1	80	52	36	16	12	5	1	MS007	2	1	
2016-301	Auckland	Hard	28	A	20160111	295	105138	8		Roberto Bautista Agut	R	183	ESP	27	25	1480	104545	3		John Isner	R	208	USA	30	11	2495	7-5 2-6 6-3	3	QF	102	4	5	92	56	44	14	15	3	6	17	1	76	53	39	12	14	3	6	MS006	3	0	
2016-301	Auckland	Hard	28	A	20160111	296	106058			Jack Sock	R	191	USA	23	26	1465	104731	4		Kevin Anderson	R	203	RSA	29	12	2475	1-6 6-4 6-4	3	QF	99	7	4	76	44	36	18	13	6	4	14	5	80	47	39	17	14	2	8	MS005	3	0	
2016-301	Auckland	Hard	28	A	20160111	293	103970	1 WC		David Ferrer	R	175	ESP	33	8	4055	105881			Matthew Barton	R	191	AUS	24	299	167	6-2 6-4	3	R16	65	1	0	47	26	23	13	9	0	7	6	2	59	35	22	12	9	4	0	MS008	2	0	
2016-301	Auckland	Hard	28	A	20160111	286	104542	2		Jo-Wilfried Tsonga	R	188	FRA	30	10	2635	104259			Philipp Kohlschreiber	R	178	GER	32	34	1185	6-3 6-4	3	R16	67	4	1	56	41	31	11	10	2	8	1	4	54	31	24	10	9	6	2	MS015	2	0	
2016-301	Auckland	Hard	28	A	20160111	288	104545	3		John Isner	R	208	USA	30	11	2495	105023			Sam Querrey	R	198	USA	28	60	785	7-6(8) 6-7(4) 6-4	3	R16	133	31	4	108	81	68	15	17	1	3	21	7	119	74	61	22	17	2	1	MS013	3	2	
2016-301	Auckland	Hard	28	A	20160111	291	104731	4		Kevin Anderson	R	203	RSA	29	12	2475	104898			Robin Haase	R	191	NED	28	64	750	7-6(8) 7-6(5)	3	R16	107	8	3	85	45	35	22	12	2	2	2	4	81	41	36	19	12	1	3	MS010	2	2	
2016-301	Auckland	Hard	28	A	20160111	292	104586			Lukas Rosol	R	196	CZE	30	54	802	105332	5		Benoit Paire	R	196	FRA	26	18	1703	6-4 7-6(5)	3	R16	79	2	2	72	39	29	20	11	2	6	13	5	85	59	44	7	11	4	3	MS009	2	1	
2016-301	Auckland	Hard	28	A	20160111	287	104926	6		Fabio Fognini	R	178	ITA	28	21	1515	105217			Thiemo de Bakker	R	193	NED	27	100	582	6-1 6-1	3	R16	47	2	1	38	23	20	8	7	0	6	6	3	42	22	10	8	7	1	0	MS014	2	0	
2016-301	Auckland	Hard	28	A	20160111	289	105138	8		Roberto Bautista Agut	R	183	ESP	27	25	1480	105385			Donald Young	L	183	USA	26	46	907	6-4 7-6(3)	3	R16	87	8	2	73	51	38	15	11	2	3	3	2	69	42	32	14	11	2	2	MS012	2	1	
2016-301	Auckland	Hard	28	A	20160111	290	106058			Jack Sock	R	191	USA	23	26	1465	105577			Vasek Pospisil	R	193	CAN	25	39	1075	6-2 6-4	3	R16	75	8	3	51	27	25	13	9	1	10	7	4	71	42	26	15	9	7	1	MS011	2	0	
2016-301	Auckland	Hard	28	A	20160111	282	105332	5		Benoit Paire	R	196	FRA	26	18	1703	105030			Michael Venus	R	191	NZL	28	679	41	6-4 7-6(4)	3	R32	87	11	6	93	42	35	27	11	5	2	3	2	69	41	34	12	11	1	5	MS019	2	1	
2016-301	Auckland	Hard	28	A	20160111	273	104926	6		Fabio Fognini	R	178	ITA	28	21	1515	105311			Joao Sousa	R	185	POR	26	33	1191	6-4 2-6 7-6(3)	3	R32	116	5	8	110	56	38	20	15	6	7	6	6	94	47	31	20	15	1	13	MS028	3	1	
2016-301	Auckland	Hard	28	A	20160111	278	105577			Vasek Pospisil	R	193	CAN	25	39	1075	103333	7		Ivo Karlovic	R	211	CRO	36	23	1485	7-6(4) 7-5	3	R32	88	12	0	65	48	38	14	12	0	3	15	4	73	41	34	17	12	2	0	MS023	2	1	
2016-301	Auckland	Hard	28	A	20160111	277	105138	8		Roberto Bautista Agut	R	183	ESP	27	25	1480	106210			Jiri Vesely	L	198	CZE	22	42	1057	6-3 7-5	3	R32	77	5	0	67	40	30	17	11	4	4	4	1	52	38	25	6	10	1	5	MS024	2	0	
2016-301	Auckland	Hard	28	A	20160111	284	105881			Matthew Barton	R	191	AUS	24	299	167	105449			Steve Johnson	R	188	USA	26	32	1240	6-3 3-6 6-3	3	R32	99	13	1	91	55	46	15	14	5	7	12	3	86	56	40	14	13	5	6	MS017	3	0	
2016-301	Auckland	Hard	28	A	20160111	272	105217			Thiemo de Bakker	R	193	NED	27	100	582	105077			Albert Ramos-Vinolas	L	188	ESP	27	55	798	6-3 6-4	3	R32	67	6	0	45	30	29	11	10	0	4	1	1	57	33	24	10	9	2	0	MS029	2	0	
2016-301	Auckland	Hard	28	A	20160111	280	104898			Robin Haase	R	191	NED	28	64	750	104665			Pablo Andujar	R	180	ESP	29	59	790	6-4 6-1	3	R32	68	4	2	62	39	33	10	9	6	3	0	2	46	28	19	9	8	0	6	MS021	2	0	
